X,Y,OBJECTID,ZoneDesc,CENTROID_X,CENTROID_Y,ZoneName,MeterName
130.842924296556816,-12.460430366538519,189,Zone B ($1.80/hr up to 3 hrs),700303.675974,8621836.78855,ZONE B,WOO179
130.836042229512941,-12.459378753130638,190,Zone B ($1.80/hr up to 3 hrs),699556.24856,8621958.31723,ZONE B,MIT145
130.836535420683077,-12.459857684476049,191,Zone B ($1.80/hr up to 3 hrs),699609.50287,8621904.96036,ZONE B,MIT146
130.836802824732047,-12.460100302881232,192,Zone B ($1.80/hr up to 3 hrs),699638.38991,8621877.91754,ZONE B,MIT147
130.837195096566887,-12.460017077488013,193,Zone B ($1.80/hr up to 3 hrs),699681.102192,8621886.82989,ZONE B,MCL219
130.837568582811343,-12.459637989903825,194,Zone B ($1.80/hr up to 3 hrs),699721.99872,8621928.4887,ZONE B,MCL215
130.837833563606324,-12.459586420347302,195,Zone B ($1.80/hr up to 3 hrs),699750.84753,8621933.9946,ZONE B,MCL215
130.837531523674329,-12.459965165057755,196,Zone B ($1.80/hr up to 3 hrs),699717.719042,8621892.31999,ZONE B,MCL221
130.837226487507849,-12.460270558936664,197,Zone B ($1.80/hr up to 3 hrs),699684.320975,8621858.76267,ZONE B,MCL222
130.835849729254477,-12.459372401880227,198,Zone B ($1.80/hr up to 3 hrs),699535.324367,8621959.16455,ZONE B,MIT143
130.836131664264173,-12.459620715354152,199,Zone B ($1.80/hr up to 3 hrs),699565.787,8621931.48083,ZONE B,MIT142
130.837481719871846,-12.46093358520455,200,Zone B ($1.80/hr up to 3 hrs),699711.56264,8621785.2176,ZONE B,MIT141
130.838808876417374,-12.463901201950874,201,Zone B ($1.80/hr up to 3 hrs),699853.57875,8621455.89981,ZONE B,ESP130
130.837335617352466,-12.460632829142172,202,Zone B ($1.80/hr up to 3 hrs),699695.908407,8621818.60133,ZONE B,MIT148
130.846295390222338,-12.465108445038483,203,Zone B ($1.80/hr up to 3 hrs),700666.588614,8621316.6862,ZONE B,HAR254
130.846420164999245,-12.465109051631226,204,Zone B ($1.80/hr up to 3 hrs),700680.153748,8621316.52473,ZONE B,HAR256
130.846309072837471,-12.464668285064331,205,Zone B ($1.80/hr up to 3 hrs),700668.414965,8621365.37257,ZONE B,HAR257
130.846244232046502,-12.464809983984672,206,Zone B ($1.80/hr up to 3 hrs),700661.256397,8621349.74488,ZONE B,HAR255
130.846117202106029,-12.464441431431403,207,Zone B ($1.80/hr up to 3 hrs),700647.72931,8621390.61547,ZONE B,HAR258
130.844874904627659,-12.466233568186896,208,Zone A ($2.50/hr up to 2 hrs),700511.28739,8621193.28327,ZONE A,SMI299
130.84587389894736,-12.465799300238528,209,Zone C ($1.30/hr or $7.50/day),700620.232179,8621240.57276,ZONE C,HAR285
130.84600901859568,-12.465778543564072,210,Zone C ($1.30/hr or $7.50/day),700634.93835,8621242.76701,ZONE C,HAR282
130.845535299930049,-12.466115970634362,211,Zone C ($1.30/hr or $7.50/day),700583.17605,8621205.79433,ZONE C,HAR284
130.846242013417339,-12.465330269529908,212,Zone B ($1.80/hr up to 3 hrs),700660.614732,8621292.18519,ZONE B,HAR286
130.8462906358331,-12.465473483992866,213,Zone B ($1.80/hr up to 3 hrs),700665.79071,8621276.30398,ZONE B,HAR283
130.834694906534963,-12.4601044510995,214,Zone C ($1.30/hr or $7.50/day),699409.20981,8621879.04343,ZONE C,ESP248
130.83546732283088,-12.460854489072199,215,Zone B ($1.80/hr up to 3 hrs),699492.61456,8621795.48348,ZONE B,ESP245
130.835717567543327,-12.461098123597276,216,Zone B ($1.80/hr up to 3 hrs),699519.63521,8621768.34116,ZONE B,ESP244
